Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
04/18/2022,Race_eth_NHOther,"7,685,824",4,3,"6,436,251",,,3.8,2.9,46,3.2,3.8,2.9,"2,837,897","24,185"
04/18/2022,Ages_75+_yrs,"22,841,361",8.9,8.9,"19,803,385",95,86.5,9,9,70.4,14,9.4,18.6,"13,935,866","173,817"
04/18/2022,Ages_<5yrs,"87,366",0,0,"40,760",0.4,0.2,0,0,0,0,0,0,0,0
04/18/2022,Race_eth_known,"191,071,966",99.9,74.4,"170,186,280",,,99.9,77.7,54.4,99.9,99.9,99.9,"88,794,033","839,721"
04/18/2022,Ages_<12yrs,"10,135,524",3.9,3.9,"8,155,961",20.9,16.8,3.7,3.7,0,0,0,0,0,0
04/18/2022,Ages_5-11_yrs,"10,041,944",3.9,3.9,"8,113,688",34.9,28.2,3.7,3.7,0,0,0,0,0,0
04/18/2022,Sex_Male,"121,706,763",47.8,47.4,"103,462,868",74.5,63.3,47.6,47.3,45.2,45.2,47.5,45.6,"44,908,508","424,993"
04/18/2022,Ages_16-17_yrs,"6,076,093",2.4,2.4,"5,211,266",72.4,62.1,2.4,2.4,29.1,1.5,2.5,2,"1,517,639","18,689"
04/18/2022,Race_eth_NHNHOPI,"613,274",0.3,0.2,"553,525",66,59.6,0.3,0.3,46.9,0.3,0.3,0.4,"244,943","2,961"
04/18/2022,Race_eth_NHWhite,"105,143,063",55,40.9,"95,431,707",53.3,48.4,56.1,43.6,59,61.3,56.6,51,"54,473,194","428,228"
04/18/2022,Race_eth_NHAsian,"12,766,403",6.7,5,"11,537,833",67.2,60.7,6.8,5.3,68.5,8.3,6.6,7.1,"7,371,539","59,369"
04/18/2022,Ages_40-49_yrs,"35,243,067",13.7,13.7,"30,311,584",86.4,74.3,13.8,13.8,43.4,13.2,14.4,8,"13,157,088","74,758"
04/18/2022,Age_known,"256,805,856",99.9,99.9,"218,935,198",,,99.9,99.9,47.2,99.9,99.9,99.9,"99,479,193","933,701"
04/18/2022,Race_eth_NHMult_Oth,"11,445,483",6,4.5,"10,197,693",,,6,4.7,55.6,6,5.9,11.8,"5,366,485","98,703"
